Rally,Ball Round,Start,End,player,Hit Frame,New Hit Frame,Shot Type,Hand,Note,Diff
1_03_05,2,8394,8684,Up,8539,,,,,90
1_03_05,3,8394,8684,Down,8602,,,,,63
1_03_05,4,8394,8684,Up,8644,,,,,42
1_03_05,5,8394,8684,Down,8663,,,,,19
1_03_05,6,8394,8684,Up,8713,,,,,50
1_03_06,1,9064,9354,Up,9089,,,,,None
1_03_06,2,9064,9354,Down,9162,,,,,73
1_03_06,3,9064,9354,Up,9205,,,,,43
1_03_06,4,9064,9354,Down,9252,,,,,47
1_03_06,5,9064,9354,Up,9302,,,,,50
1_03_07,1,9884,10104,Down,9925,,,,,None
1_03_07,2,9884,10104,Up,10014,,,,,89
1_03_07,3,9884,10104,Down,10064,,,,,50
1_03_08,1,10384,10782,Down,10454,,,,,None
1_03_08,2,10384,10782,Up,10536,,,,,82
1_03_08,3,10384,10782,Down,10594,,,,,58
1_03_08,4,10384,10782,Up,10638,,,,,44
1_03_08,5,10384,10782,Down,10693,,,,,55
1_03_08,6,10384,10782,Up,10743,,,,,50
1_04_08,1,11312,12231,Down,11362,,,,,None
1_04_08,2,11312,12231,Up,11452,,,,,90
1_04_08,3,11312,12231,Down,11512,,,,,60
1_04_08,4,11312,12231,Up,11559,,,,,47
1_04_08,5,11312,12231,Down,11633,,,,,74
1_04_08,6,11312,12231,Up,11696,,,,,63
1_04_08,7,11312,12231,Down,11751,,,,,55
1_04_08,8,11312,12231,Up,11789,,,,,38
1_04_08,9,11312,12231,Down,11850,,,,,61
1_04_08,10,11312,12231,Up,11914,,,,,64
1_04_08,11,11312,12231,Down,11958,,,,,44
1_04_08,12,11312,12231,Up,11993,,,,,35
1_04_08,13,11312,12231,Down,12052,,,,,59
1_04_08,14,11312,12231,Up,12121,,,,,69
1_04_08,15,11312,12231,Down,12158,,,,,37
1_04_08,16,11312,12231,Up,12208,,,,,50
1_04_09,1,12561,12761,Up,12590,,,,,None
1_04_09,2,12561,12761,Down,12662,,,,,72
1_04_09,3,12561,12761,Up,12712,,,,,50
1_04_10,1,13081,13351,Down,13132,,,,,None
1_04_10,2,13081,13351,Up,13174,,,,,42
1_04_10,3,13081,13351,Down,13226,,,,,52
1_04_10,4,13081,13351,Up,13276,,,,,50
1_04_11,1,13741,14121,Down,13776,,,,,None
1_04_11,2,13741,14121,Up,13874,,,,,98
1_04_11,3,13741,14121,Down,13941,,,,,67
1_04_11,4,13741,14121,Up,13970,,,,,29
1_04_11,5,13741,14121,Down,14018,,,,,48
1_04_11,6,13741,14121,Up,14068,,,,,50
1_04_12,1,15413,15663,Down,15469,,,,,None
1_04_12,2,15413,15663,Up,15561,,,,,92
1_04_12,3,15413,15663,Down,15604,,,,,43
1_04_12,4,15413,15663,Up,15654,,,,,50
1_04_13,1,16043,16293,Down,16088,,,,,None
1_04_13,2,16043,16293,Up,16132,,,,,44
1_04_13,3,16043,16293,Down,16183,,,,,51
1_04_13,4,16043,16293,Up,16209,,,,,26
1_04_13,5,16043,16293,Down,16259,,,,,50
1_05_13,1,16703,17113,Down,16750,,,,,None
1_05_13,2,16703,17113,Up,16845,,,,,95
1_05_13,3,16703,17113,Down,16904,,,,,59
1_05_13,4,16703,17113,Up,16966,,,,,62
1_05_13,5,16703,17113,Down,17030,,,,,64
1_05_13,6,16703,17113,Up,17080,,,,,50
1_06_13,1,17413,17873,Up,17441,,,,,None
1_06_13,2,17413,17873,Down,17520,,,,,79
1_06_13,3,17413,17873,Up,17561,,,,,41
1_06_13,4,17413,17873,Down,17612,,,,,51
1_06_13,5,17413,17873,Up,17657,,,,,45
1_06_13,6,17413,17873,Down,17727,,,,,70
1_06_13,7,17413,17873,Up,17775,,,,,48
1_06_13,8,17413,17873,Down,17825,,,,,50
1_06_14,1,18153,18513,Up,18182,,,,,None
1_06_14,2,18153,18513,Down,18267,,,,,85
1_06_14,3,18153,18513,Up,18308,,,,,41
1_06_14,4,18153,18513,Down,18368,,,,,60
1_06_14,5,18153,18513,Up,18420,,,,,52
1_06_14,6,18153,18513,Down,18470,,,,,50
1_06_15,1,18823,19033,Down,18863,,,,,None
1_06_15,2,18823,19033,Up,18956,,,,,93
1_06_15,3,18823,19033,Down,19006,,,,,50
1_07_15,1,19413,19673,Down,19480,,,,,None
1_07_15,2,19413,19673,Up,19573,,,,,93
1_07_15,3,19413,19673,Down,19623,,,,,50
1_07_16,1,20033,20313,Up,20061,,,,,None
1_07_16,2,20033,20313,Down,20145,,,,,84
1_07_16,3,20033,20313,Up,20204,,,,,59
1_07_16,4,20033,20313,Down,20254,,,,,50
1_07_17,1,20643,20873,Down,20685,,,,,None
1_07_17,2,20643,20873,Up,20777,,,,,92
1_07_17,3,20643,20873,Down,20817,,,,,40
1_07_17,4,20643,20873,Up,20867,,,,,50
1_07_18,1,21223,21653,Down,21279,,,,,None
1_07_18,2,21223,21653,Up,21315,,,,,36
1_07_18,3,21223,21653,Down,21381,,,,,66
1_07_18,4,21223,21653,Up,21431,,,,,50
1_07_18,5,21223,21653,Down,21494,,,,,63
1_07_18,6,21223,21653,Up,21547,,,,,53
1_07_18,7,21223,21653,Down,21597,,,,,50
1_08_18,1,22123,22633,Down,22178,,,,,None
1_08_18,2,22123,22633,Up,22265,,,,,87
1_08_18,3,22123,22633,Down,22338,,,,,73
1_08_18,4,22123,22633,Up,22364,,,,,26
1_08_18,5,22123,22633,Down,22414,,,,,50
1_08_18,6,22123,22633,Up,22457,,,,,43
1_08_18,7,22123,22633,Down,22536,,,,,79
1_08_18,8,22123,22633,Up,22586,,,,,50
1_08_19,1,22993,23223,Up,23028,,,,,None
1_08_19,2,22993,23223,Down,23108,,,,,80
1_08_19,3,22993,23223,Up,23142,,,,,34
1_08_19,4,22993,23223,Down,23176,,,,,34
1_08_19,5,22993,23223,Up,23226,,,,,50
1_08_20,1,24576,25076,Down,24638,,,,,None
1_08_20,2,24576,25076,Up,24728,,,,,90
1_08_20,3,24576,25076,Down,24772,,,,,44
1_08_20,4,24576,25076,Up,24815,,,,,43
1_08_20,5,24576,25076,Down,24871,,,,,56
1_08_20,6,24576,25076,Up,24916,,,,,45
1_08_20,7,24576,25076,Down,24945,,,,,29
1_08_20,8,24576,25076,Up,24995,,,,,50
1_09_20,1,25386,25696,Down,25426,,,,,None
1_09_20,2,25386,25696,Up,25472,,,,,46
1_09_20,3,25386,25696,Down,25535,,,,,63
1_09_20,4,25386,25696,Up,25580,,,,,45
1_09_20,5,25386,25696,Down,25630,,,,,50
1_09_21,1,26036,26296,Up,26077,,,,,None
1_09_21,2,26036,26296,Down,26155,,,,,78
1_09_21,3,26036,26296,Up,26195,,,,,40
1_09_21,4,26036,26296,Down,26233,,,,,38
1_09_21,5,26036,26296,Up,26283,,,,,50
